Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes
182052,mouse,NCBI:txid10090,182052,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
182053,mouse,NCBI:txid10090,182053,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
182056,mouse,NCBI:txid10090,182056,PlexinD1-creER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
182444,mouse,NCBI:txid10090,182444,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
182932,mouse,NCBI:txid10090,182932,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
190137,mouse,NCBI:txid10090,190137,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
190382,mouse,NCBI:txid10090,190382,PlexinD1-creER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
190383,mouse,NCBI:txid10090,190383,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
190385,mouse,NCBI:txid10090,190385,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
190386,mouse,NCBI:txid10090,190386,PlexinD1-creER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
190381,mouse,NCBI:txid10090,190381,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
190384,mouse,NCBI:txid10090,190384,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
190387,mouse,NCBI:txid10090,190387,PlexinD1-creER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
191226,mouse,NCBI:txid10090,191226,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,#N/A,,,
